sector,product,product_name,total_value
Energy & Hydrocarbons,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1224471815.638
Transport,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",914296348.962
Energy & Hydrocarbons,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",761330162.309
Machinery & Equipment,8542,Electronic integrated circuits,644984450.079
Machinery & Equipment,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",639427215.029
Chemicals,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",469898928.22
Precious Metals & Gems,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",469524227.713
Energy & Hydrocarbons,2711,Petroleum gases and other gaseous hydrocarbons,447178227.71500003
Transport,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",433524685.606
Machinery & Equipment,8471,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",419963596.078
Chemicals,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",350207362.17300004
Machinery & Equipment,8411,"Turbo-jets, turbo-propellers and other gas turbines",199532174.976
Transport,8704,Vehicles; for the transport of goods,176009366.624
Instruments & Optics,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",165419791.44099998
Machinery & Equipment,8544,"Insulated wire, cable and other electric conductors, connector fitted or not; optical fibre cables of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors",157444219.087
Minerals & Raw Materials,2601,Iron ores and concentrates; including roasted iron pyrites,154553966.773
Energy & Hydrocarbons,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",149196634.856
